 | 1ESOC | AGA   | LIBD1 | 423   | 5 | 3 | 
 | 4ESOB | AGA   | LCL   | 525   | 5 | 5 | 
 | 1ESOB | AGA   | LCL   | 402   | 5 | 7 | 
 | 2ESOE | AGC   | FyQ   | 413   | 1 | 1 | 
 | 3ESOF | AGC   | FQU   | 425   | 1 | 2 | 
 | 3ESOC | AGC   | FQU   | 113   | 1 | 3 | 
 | 2ESOB | AGC   | FyQ   | 423   | 2 | 1 | 
 | 2ESOA | AGC   | FyQ   | 422   | 2 | 2 | 
 | 2ESOE | AGC   | FyQ   | 413   | 2 | 5 | 
 | 4ESOC | AGC   | FYQ   | 302   | 2 | 6 | 
 | 2ESOB | AGC   | FyQ   | 423   | 3 | 1 | 
 | 4ESOC | AGC   | FYQ   | 302   | 3 | 2 | 
 | 2ESOA | AGC   | FyQ   | 422   | 4 | 1 | 
 | 2ESOA | AGC   | TUT   | 422   | 4 | 2 | 
 | 3ESOF | AGC   | FQU   | 425   | 4 | 3 | 
 | 2ESOB | AGC   | FyQ   | 423   | 5 | 1 | 
 | 3ESOC | AGC   | FQU   | 113   | 5 | 3 | 
 | 4ESOC | AGC   | FYQ   | 302   | 5 | 5 | 
 | 2ESOA | AGC   | FyQ   | 422   | 5 | 6 | 
 | 2ESOE | AGC   | FyQ   | 413   | 5 | 7 | 
 | 1ESOD | AGF   | LIBD1 | 409   | 1 | 5 | 
 | 1ESOE | AGF   | LIBD1 | 409   | 1 | 5 | 
 | 1ESOG | AGF   | TUT   | 411   | 1 | 6 | 
 | 1ESOD | AGF   | LCL   | 404   | 1 | 7 | 
 | 1ESOD | AGF   | LCL   | 404   | 2 | 2 | 
 | 1ESOG | AGF   | LCL   | 411   | 2 | 5 | 
 | 1ESOD | AGF   | LIBD7 | 409   | 2 | 6 | 
 | 1ESOE | AGF   | LIBD7 | 409   | 2 | 6 | 
 | 1ESOF | AGF   | LIBD7 | 409   | 2 | 6 | 
 | 2ESOA | AGF   | LCL   | 422   | 2 | 7 | 
 | 2ESOA | AGF   | LCL   | 422   | 3 | 3 | 
 | 1ESOD | AGF   | LIBD1 | 409   | 3 | 5 | 
 | 1ESOE | AGF   | LIBD1 | 409   | 3 | 5 | 
 | 1ESOD | AGF   | LCL   | 404   | 3 | 6 | 
 | 1ESOG | AGF   | LCL   | 411   | 3 | 7 | 
 | 1ESOG | AGF   | LCL   | 411   | 4 | 3 | 
 | 2ESOA | AGF   | LCL   | 422   | 4 | 5 | 
 | 1ESOD | AGF   | LIBD7 | 409   | 4 | 6 | 
 | 1ESOE | AGF   | LIBD7 | 409   | 4 | 6 | 
 | 1ESOF | AGF   | LIBD7 | 409   | 4 | 6 | 
 | 1ESOD | AGF   | LCL   | 404   | 4 | 7 | 
 | 1ESOG | AGF   | LCL   | 411   | 5 | 6 | 
 | 2ESOA | AGF   | LCL   | 422   | 5 | 7 | 
 | 3ESOB | AGR   | AMBLS | 408   | 1 | 2 | 
 | 3ESOC | AGR   | AMBLS | 408   | 1 | 2 | 
 | 1BSH  | AGR   | LUN   | 211   | 1 | 3 | 
 | 1BA   | AGR   | LUN   | 211   | 1 | 3 | 
 | 3ESOB | AGR   | AMBLS | 408   | 1 | 7 | 
 | 3ESOC | AGR   | AMBLS | 408   | 1 | 7 | 
 | 3ESOB | AGR   | AMBLS | 408   | 2 | 1 | 
 | 3ESOC | AGR   | AMBLS | 408   | 2 | 1 | 
 | 1BSH  | AGR   | LUN   | 211   | 2 | 3 | 
 | 1BA   | AGR   | LUN   | 211   | 2 | 3 | 
 | 1ESOH | AGR   | LIBD4 | 203   | 2 | 6 | 
 | 1ESOI | AGR   | LIBD4 | 203   | 2 | 6 | 
 | 2BSH  | AGR   | MLCP1 | 513   | 3 | 3 | 
 | 3ESOB | AGR   | AMBLS | 408   | 3 | 5 | 
 | 3ESOC | AGR   | AMBLS | 408   | 3 | 5 | 
 | 3ESOD | AGR   | LIBD4 | 117   | 3 | 6 | 
 | 3ESOE | AGR   | LIBD4 | 117   | 3 | 6 | 
 | 3ESOB | AGR   | AMBLS | 408   | 4 | 1 | 
 | 3ESOC | AGR   | AMBLS | 408   | 4 | 1 | 
 | 1BSH  | AGR   | LUN   | 211   | 4 | 3 | 
 | 1BA   | AGR   | LUN   | 211   | 4 | 3 | 
 | 3ESOB | AGR   | AMBLS | 408   | 4 | 6 | 
 | 3ESOC | AGR   | AMBLS | 408   | 4 | 6 | 
 | 3ESOB | AGR   | AMBLS | 408   | 5 | 1 | 
 | 3ESOC | AGR   | AMBLS | 408   | 5 | 1 | 
 | 1ESOH | AGR   | LIBD4 | 203   | 5 | 2 | 
 | 1ESOI | AGR   | LIBD4 | 203   | 5 | 2 | 
 | 2BSH  | AGR   | MLCP1 | 513   | 5 | 3 | 
 | 1BSH  | AGR   | LUN   | 211   | 5 | 6 | 
 | 1BA   | AGR   | LUN   | 211   | 5 | 6 | 
 | 4ESOA | AGZ   | REL   | 303   | 1 | 1 | 
 | 1ESOD | AGZ   | REL   | 404   | 1 | 2 | 
 | 4ESOD | AGZ   | REL   | 522   | 1 | 3 | 
 | 2BSH  | AGZ   | REL   | 513   | 1 | 5 | 
 | 1BCT  | AGZ   | REL   | 201   | 1 | 6 | 
 | 1ESOA | AGZ   | REL   | 403   | 2 | 1 | 
 | 1ESOC | AGZ   | REL   | 403   | 2 | 1 | 
 | 3ESOE | AGZ   | REL   | 512   | 2 | 2 | 
 | 3ESOF | AGZ   | REL   | 425   | 2 | 3 | 
 | 3ESOC | AGZ   | REL   | 113   | 2 | 5 | 
 | 2ESOA | AGZ   | REL   | 424   | 2 | 6 | 
 | 2ESOC | AGZ   | REL   | 424   | 2 | 6 | 
 | 2ESOG | AGZ   | REL   | 416   | 3 | 2 | 
 | 2BS   | AGZ   | REL   | 521   | 3 | 3 | 
 | 1BS   | AGZ   | REL   | 501   | 3 | 5 | 
 | 1BA   | AGZ   | REL   | 501   | 3 | 5 | 
 | 1BSH  | AGZ   | REL   | 502   | 3 | 6 | 
 | 2ESOF | AGZ   | REL   | 414   | 4 | 3 | 
 | 2ESOH | AGZ   | REL   | 417   | 5 | 1 | 
 | 4ESOF | AGZ   | REL   | 514   | 5 | 5 | 
 | 1ESOH | AGZ   | REL   | 201   | 5 | 6 | 
 | 1ESOI | AGZ   | REL   | 201   | 5 | 6 | 
 | 1ESOH | AHG   | MAT   | 202   | 1 | 2 | 
 | 3ESOE | AHG   | MAC   | 512   | 1 | 5 | 
 | 2BCT  | AHG   | MAT   | 526   | 2 | 1 | 
 | 1ESOH | AHG   | MAT   | 202   | 2 | 3 | 
 | 3ESOA | AHG   | MAC   | 406   | 2 | 6 | 
 | 3ESOB | AHG   | MAC   | 406   | 2 | 6 | 
 | 3ESOE | AHG   | MAC   | 512   | 3 | 1 | 
 | 3ESOA | AHG   | MAC   | 406   | 3 | 2 | 
 | 3ESOB | AHG   | MAC   | 406   | 3 | 2 | 
 | 2BCT  | AHG   | MAT   | 526   | 3 | 3 | 
 | 3ESOE | AHG   | MAC   | 512   | 4 | 1 | 
 | 3ESOA | AHG   | MAC   | 406   | 4 | 2 | 
 | 3ESOB | AHG   | MAC   | 406   | 4 | 2 | 
 | 1ESOH | AHG   | MAT   | 202   | 4 | 5 | 
 | 2BCT  | AHG   | MAT   | 526   | 4 | 6 | 
 | 1ESOH | AHG   | MAT   | 202   | 5 | 1 | 
 | 3ESOA | AHG   | MAC   | 406   | 5 | 2 | 
 | 3ESOB | AHG   | MAC   | 406   | 5 | 2 | 
 | 3ESOE | AHG   | MAC   | 512   | 5 | 5 | 
 | 2BCT  | AHG   | MAT   | 526   | 5 | 7 | 
 | 1ESOC | AHH   | MAT   | 403   | 1 | 3 | 
 | 4ESOD | AHH   | MAC   | 522   | 1 | 5 | 
 | 2ESOF | AHH   | MAT   |       | 1 | 6 | 
 | 4ESOC | AHH   | MAC   | 118   | 1 | 7 | 
 | 4ESOC | AHH   | MAC   | 118   | 2 | 3 | 
 | 1ESOB | AHH   | LIBD2 | 403   | 2 | 5 | 
 | 1ESOC | AHH   | LIBD2 | 403   | 2 | 5 | 
 | 1ESOC | AHH   | MAT   | 403   | 2 | 7 | 
 | 1ESOC | AHH   | MAT   | 403   | 3 | 1 | 
 | 4ESOD | AHH   | MAC   | 522   | 3 | 2 | 
 | 4ESOC | AHH   | MAC   | 118   | 3 | 5 | 
 | 2ESOF | AHH   | MAT   |       | 3 | 7 | 
 | 4ESOC | AHH   | TUT   | 118   | 4 | 1 | 
 | 4ESOC | AHH   | MAC   | 118   | 4 | 5 | 
 | 4ESOD | AHH   | MAC   | 522   | 4 | 6 | 
 | 1ESOC | AHH   | MAT   | 403   | 5 | 1 | 
 | 4ESOD | AHH   | MAC   | 522   | 5 | 2 | 
 | 1ESOB | AHH   | LIBD2 | 403   | 5 | 3 | 
 | 1ESOC | AHH   | LIBD2 | 403   | 5 | 3 | 
 | 1BSH  | AIS   | FIL   | 502   | 1 | 1 | 
 | 2BS   | AIS   | PSI   | 521   | 1 | 5 | 
 | 2BSH  | AIS   | PSI   | 526   | 1 | 7 | 
 | 2BCT  | AIS   | PSI   | 526   | 1 | 7 | 
 | 2BS   | AIS   | PSI   | 521   | 2 | 1 | 
 | 1ESOG | AIS   | CSG   | 203   | 2 | 2 | 
 | 1ESOH | AIS   | CSG   | 203   | 2 | 2 | 
 | 1ESOI | AIS   | CSG   | 203   | 2 | 2 | 
